airport,index
,NA
SIT,232
YUM,160
CPR,132
AGS,199
SPS,283
SPI,257
SPN,212
BWI,63
WRG,234
LAN,184
JNU,220
SNA,11
MAZ,293
LAX,6
MAF,148
LAW,282
LAR,331
LAS,10
GUC,235
CMI,93
CMH,52
ALB,108
GUM,209
CMX,340
DTW,39
EVV,159
LSE,177
VLD,312
TTN,255
GRR,112
DSM,86
GRB,168
GRK,328
CBM,325
INL,347
HLN,217
OKC,59
IND,55
EKO,296
SMX,302
AKN,260
BZN,178
FCA,216
GGG,273
MDW,79
MDT,82
DFW,62
FMN,319
AUS,80
ALO,98
SBP,276
LMT,142
PUB,161
SBA,106
ORH,201
ORF,38
ORD,46
SBN,174
KOA,102
CAK,130
TOL,97
ERI,169
CAE,116
VPS,176
ONT,24
ABE,127
STL,30
ABI,245
STT,157
ABQ,13
KTN,229
RDR,292
ABY,317
STX,158
BHM,114
PNS,151
RST,99
OGD,306
OGG,100
RSW,75
JFK,29
FNT,195
MIA,32
MIB,274
LIH,105
LIT,65
EGE,247
SAN,1
LBB,145
RAP,135
LBF,336
SAV,117
SAT,57
CHA,186
BFF,323
TPA,45
BFI,243
BFL,123
JAN,122
HRL,144
CHS,136
EYW,202
JAC,219
IPL,298
RHI,341
VIS,300
LNK,96
DBQ,290
APF,205
TYR,287
TYS,121
KSM,264
HDN,236
CEC,303
BMI,289
SUX,95
GCC,349
DLG,261
SHV,183
CSG,215
DLH,166
OXR,301
GCN,164
RFD,246
PVU,326
BTV,124
BTR,182
MGM,171
BTM,221
WYS,321
ATL,78
ISP,109
ATW,180
ISO,198
PMD,249
LNY,272
PVD,110
ASE,334
CLL,288
SEA,20
GTF,131
PDX,8
CLD,297
CLE,48
EUG,19
YAP,211
GLH,344
GTR,313
YAK,231
CLT,85
TLH,149
DUT,266
ITO,275
OMA,74
OME,226
HVN,254
TUP,332
TUS,18
TUL,40
SWF,250
BPT,284
CYS,322
BIL,113
ELM,207
BET,225
UCA,203
BIS,172
MLB,150
DHN,315
MLI,83
VCT,309
MLU,214
CWA,181
SLE,346
SLC,67
MCO,47
MCN,310
MCI,58
LGB,23
LGA,42
GFK,175
OTZ,227
CKB,324
BGM,204
BGR,125
DCA,37
HSV,115
MQT,291
RIC,133
IAH,69
IAD,51
OAJ,192
GPT,187
BNA,61
ITH,206
PHL,44
PHF,224
SYR,41
PHX,7
CRP,147
CRW,137
AEX,307
SKA,327
MFE,213
BUR,4
MFR,16
GEG,14
BUF,107
YKM,28
FOE,118
MHT,119
EFD,252
RNO,3
ANC,72
PSC,27
PSG,233
MOT,173
BLI,26
PSP,71
LCH,308
MOD,305
ILG,139
COS,49
ILE,285
FSD,87
ILM,129
HNL,31
COD,267
CID,94
TVL,223
TVC,244
SRQ,76
CDC,294
LYH,196
BJI,348
BRW,259
CDV,230
PLN,339
MKG,351
MKE,50
MKC,251
MKK,271
IYK,299
ANI,263
CVG,35
PSE,253
RCA,338
MRY,17
FAY,191
JAX,70
FAR,134
FAT,22
SOP,337
FAI,101
MBS,104
MTJ,265
MTH,342
HPN,138
MOB,153
CHO,200
SDF,68
PWM,126
GSP,152
GST,240
BOS,43
OAK,5
FWA,170
CCR,25
BOI,128
DRO,162
GSO,111
PIH,238
HKY,330
PIA,90
MYR,197
PIE,222
PIR,237
PIT,54
BQN,256
BQK,314
FSM,277
GJT,163
DET,241
FLL,60
DEN,34
SMF,12
FLG,165
SCK,15
SFO,2
AMA,146
ROA,190
ROC,103
SCC,228
ROP,242
ROR,210
ROW,333
TRI,194
EWN,345
BDL,64
EWR,53
PBI,77
LRD,280
GNV,156
AVP,154
AVL,189
HTS,193
ACK,268
SUN,248
XNA,278
ACV,141
ACT,281
ACY,239
IDA,218
LFT,208
NA,NA
TEX,335
RDU,88
OTH,352
ADQ,262
SJT,286
SJU,33
RDD,140
RDM,21
SJC,9
ELP,120
ADK,320
MEM,91
MEI,311
BRO,269
LEX,89
CIC,304
TWF,270
FLO,316
MSY,73
AZO,167
LWS,329
MSP,81
MSO,185
MSN,84
LWB,258
TXK,279
DAB,155
RKS,350
DAL,143
SGU,295
EAU,179
DAY,36
SGF,92
HOU,56
ICT,66
PFN,188
SCE,318
HHH,343
